Max Features,Validation Accuracy,Validation Precision
100,0.942792,0.80626
200,0.96056,0.895748
300,0.96185,0.895822
400,0.961343,0.911994
500,0.957479,0.930478
600,0.955423,0.925009
700,0.955939,0.944827
800,0.953873,0.920028
900,0.951036,0.913484
1000,0.947424,0.887601
1100,0.942262,0.846784
1200,0.941487,0.844129
1300,0.940458,0.837258
1400,0.93891,0.834598
1500,0.93995,0.842166
2000,0.935306,0.813925
2500,0.931196,0.807246
3000,0.951807,0.985523
3500,0.951033,0.985429
4000,0.95026,0.988464
4500,0.948972,0.991311
5000,0.951034,0.990584
5500,0.973448,0.963778
