dropout (first & second layer),Test Accuracy,Test Precision
0.0,0.9755225014207789,0.976593766249446
0.02,0.9720431199774799,0.9714209619554521
0.04,0.9732887359227805,0.973236478489866
0.06,0.9736540443070583,0.9742813049631982
0.08,0.9740277888430345,0.9746894294441748
0.1,0.9740193748218493,0.974543780255294
0.12,0.9738660135256637,0.9743114659184003
0.14,0.9738798585329062,0.9744852778815539
0.16,0.9739765375247935,0.9744719627901335
0.18,0.9739507613781819,0.9743997293658131
0.2,0.9738125571269023,0.9742381435572102
0.22,0.9737617977766799,0.9741282289631167
0.24,0.9695972709604218,0.9699687551336881
0.26,0.9697076458015126,0.9700589888614991
0.28,0.9700781207122129,0.9705118883888919
0.3,0.9701929869288335,0.9712049028369596
0.32,0.9703852021536477,0.9713214167675323
0.34,0.9706133486535496,0.9715985475437032
0.36,0.9707225398300319,0.9716520980619133
0.38,0.9707435454144688,0.9716567567971571
0.4,0.9680379807664339,0.9688626175578237
0.42,0.9681439689683525,0.9694047860498182
0.44,0.9682183351033894,0.969375044194898
0.46,0.9682113654349706,0.9693683903710623
0.48,0.9682770757978933,0.969406930561425
0.5,0.9675946416511513,0.9685595803762903
