dropout (first layer),Test Accuracy,Test Precision
0.0,0.9744915735857274,0.9748818112174878
0.02,0.9748782379154118,0.9754588718969585
0.04,0.9745778383268623,0.9749054694661509
0.06,0.9723656500794042,0.9721181121468709
0.08,0.9728939806774062,0.972954967909111
0.1,0.9717857642374444,0.9742753572259756
0.12,0.9724668782090824,0.974650946845994
0.14,0.973074329976577,0.975005155294991
0.16,0.9732890900109944,0.9751793895156359
0.18,0.9734867110693287,0.9751821306139146
0.2,0.9737889096674291,0.9753893048698745
0.22,0.9738260537222638,0.9754626178659546
0.24,0.9738970833072874,0.9754623750907829
0.26,0.9733505116701152,0.9747403435261078
0.28,0.973478155412858,0.9747528310642758
0.3,0.9731551035840809,0.9752870001865349
0.32,0.9732033980596173,0.9752297534770102
0.34,0.97337518508486,0.9752909312387258
0.36,0.9733932827974905,0.9752256330688842
0.38,0.9734481973369024,0.9752086800523669
0.4,0.973473348665353,0.9751925662879363
0.42,0.9735313406697191,0.9751915242840034
0.44,0.9736291359331568,0.9752535246619429
0.46,0.9735684545465814,0.9751203796904196
0.48,0.9733682605947621,0.9747653618973173
0.5,0.9732430193891898,0.9746804477082768
0.52,0.9731843044891109,0.9746234254832202
0.54,0.9730837646886542,0.9744901333896836
0.56,0.9730434825210765,0.9744345693242987
0.58,0.9730316324705977,0.9743741028744828
0.6,0.9729790201019879,0.9743262475704259
0.62,0.9729216128364061,0.974194185175703
0.64,0.9728052526089462,0.9740606055527508
0.66,0.9727184586290103,0.9739835319830408
0.68,0.9725556342137235,0.9737673096365321
0.7000000000000001,0.9724734404332156,0.9736719065827908
0.72,0.9723399780857681,0.9735207402592428
0.74,0.9721457438270549,0.9733042310432681
0.76,0.9718557613489023,0.9729439632255029
0.78,0.9716189178710097,0.9726690901532778
0.8,0.9713621905296004,0.9723735817941384
0.8200000000000001,0.9707802011322229,0.9716663401725127
0.84,0.969871874209092,0.9706366421225328
0.86,0.9685654858388056,0.9692180405375772
0.88,0.9668990606629834,0.9674873861413438
0.9,0.9652379928879076,0.9657528019032438
