2nd Hidden # Neuron,Test Accuracy,Test Precision
5,0.9760383636875454,0.9763302209809008
10,0.9748787690477329,0.9753400569546296
20,0.9745780153709694,0.9756499043487284
30,0.9744921379138185,0.9759466629718182
40,0.974337571769255,0.9760111710722559
50,0.9743633051302071,0.9762900534130977
60,0.9741240300195988,0.9761636261068033
70,0.9738801904906068,0.9759272593014524
80,0.9738623145684282,0.9759643993881169
90,0.9738479739957613,0.9761055158540033
100,0.9737894287285609,0.976068370887123
200,0.9737406188753802,0.9759444538384701
300,0.9738182714421181,0.975865375885662
400,0.9735902989440329,0.9754322661767683
500,0.9723106114926411,0.9737797397803535
