3rd Hidden # Neuron,Test Accuracy,Test Precision
5,0.9750075686355741,0.9774159421338654
10,0.9747496375021909,0.9772617167034273
20,0.9713150924789892,0.9729202575847483
30,0.9714648828587665,0.972841984370435
40,0.972070380343855,0.9741460464609615
50,0.972345157224019,0.9748250178273324
60,0.9725781883683539,0.9752702357182409
70,0.972495262963612,0.9751083202327322
80,0.9723162916577406,0.9750708790450577
90,0.9720186082208662,0.9746563252079051
100,0.9721029025415647,0.9749017969574854
200,0.9720014150250252,0.9749379404086592
300,0.9716975928674649,0.9744435263931273
400,0.9711242326086412,0.9735370210395591
500,0.9709880654567473,0.9733103008228233
