1st Hidden # Neuron,2nd Hidden # Neuron,Test Accuracy,Test Precision
5,100,0.9449103400357403,0.9444044013321911
10,100,0.9578154853559575,0.9581422265093849
20,100,0.9629448695917253,0.9638409443930714
30,100,0.965451046620381,0.9666220398174047
40,100,0.9671327763203825,0.9685331812377218
50,100,0.9682656204003736,0.9698527645905811
60,100,0.9691216482015411,0.970853990434675
70,100,0.9697168222763658,0.9715474116711863
80,100,0.9701875294101115,0.9721117862847743
90,100,0.9706250111658509,0.9725850298582223
100,100,0.9709531382392153,0.9729828270544698
