1st Hidden # Neuron,Test Accuracy,Test Precision
5,0.9692307692307691,0.9689873194150168
10,0.9721794871794872,0.9723661509800785
20,0.9735042735042735,0.9746101255830655
30,0.9741666666666667,0.9758737861686845
40,0.9746153846153847,0.9767428475144531
50,0.9746581196581197,0.9772260223259005
60,0.9746886446886448,0.9775699445299252
70,0.9747435897435898,0.9779313264140719
80,0.9746723646723646,0.9781181559593691
90,0.9746153846153846,0.9783244032107206
100,0.9745920745920743,0.9785444911639203
200,0.9743803418803415,0.9786543688517542
300,0.9741617357001968,0.9787242892619419
400,0.9740109890109885,0.9787863571664907
500,0.9738632478632473,0.9788938703043696
1000,0.9736698717948712,0.979003067735281
1500,0.9734087481146299,0.9789994893543976
2000,0.9730769230769225,0.9790589371656506
2500,0.9729014844804313,0.9791441027308221
3000,0.9727692307692305,0.9791924353273224
